name,name_ar,sector_family,city,hr_email,email_source_url,website,verified_at,notes
Saudi Industrial Detergent Company (SIDCO),الشركة السعودية للمنظفات الصناعية,chem_process,الدمام,sscs@sidco.com.sa,https://www.sidco.com.sa,https://www.sidco.com.sa,2026-09-12,بريد عام منشور بالموقع الرسمي (لا بريد توظيف مخصص).
Saudi Steel Pipe Company,الشركة السعودية لأنابيب الصلب,production,الدمام,info@sspipe.com,https://www.sspipe.com,https://www.sspipe.com,2026-09-12,بريد عام منشور بالموقع الرسمي.
Farabi Petrochemicals Company,الشركة الفارابي للبتروكيماويات,chem_process,,info@farabipc.com,https://www.farabipc.com,https://www.farabipc.com,2026-09-12,بريد عام منشور بالموقع الرسمي؛ المدينة (الجبيل) معروفة عمومًا لكن لم تُؤكَّد نصًا بالصفحة نفسها فتُركت فارغة.
Azmeel Contracting Company,شركة أزميل للمقاولات,construction_pm,الجبيل,info@azmeel.com,https://www.azmeel.com,https://www.azmeel.com,2026-09-12,بريد عام منشور بالموقع الرسمي؛ المدينة مؤكَّدة من عنوان الشركة بالصفحة (Jubail Industrial City).
Integrated Eastern Pipes Industries,شركة الأنابيب الشرقية المتكاملة,production,الدمام,careersa@eastpipes.com,https://www.eastpipes.com/career/,https://www.eastpipes.com,2026-09-12,بريد توظيف مخصص منشور بصفحة "Career" الرسمية.
Zamil Steel Holding Company,شركة الزامل للصناعات الحديدية القابضة,production,الدمام,careers@zamilsteel.com,https://www.zamilsteel.com/jobs-and-training,https://www.zamilsteel.com,2026-09-12,بريد توظيف مخصص منشور بصفحة "Jobs & Training" الرسمية.
Al Sharq Plastic Industries,شركة الشرق للصناعات البلاستيكية,production,الرياض,careers@alsharqplastics.com,https://alsharqplastics.com/career/,https://www.alsharqplastics.com,2026-09-12,بريد توظيف مخصص منشور بصفحة Career الرسمية.
City Cement Company,شركة أسمنت المدينة,production,الرياض,Recruitment@CityCement.sa,https://www.citycement.sa,https://www.citycement.sa,2026-09-12,بريد توظيف مخصص (Recruitment@) منشور بالموقع الرسمي.
Tabuk Cement Company,شركة أسمنت تبوك,production,تبوك,jobs@tcc-sa.com,https://www.tcc-sa.com/recruitment/,https://www.tcc-sa.com,2026-09-12,بريد توظيف مخصص منشور بصفحة التوظيف الرسمية.
Umm Al-Qura Cement Company,شركة أسمنت أم القرى,production,الرياض,info@uacc.com.sa,https://uacc.com.sa/careers/,https://www.uacc.com.sa,2026-09-12,بريد عام منشور بصفحة Careers الرسمية (لا بريد توظيف مخصص منفصل).
Fahes (Saudi Testing Inspection and Certification),فاحص السعودية لخدمات الفحص والاختبار,quality,,info@fahes.com.sa,https://fahes.com.sa/en/inspection-and-testing-services/,https://fahes.com.sa,2026-09-12,بريد عام منشور بالموقع الرسمي؛ شركة فحص وجودة متخصصة (قطاع أولوية "الجودة").
Rowad National Plastic Company,شركة رواد الوطنية للبلاستيك,production,الرياض,marketing@rowadplastic.com,https://www.rowadplastic.com,https://www.rowadplastic.com,2026-09-12,بريد تسويق عام منشور بالموقع الرسمي (لا بريد توظيف مخصص).
Qassim Cement Company,شركة أسمنت القصيم,production,بريدة,qcc@qcc.com.sa,https://www.qcc.com.sa/Careers/en/,https://www.qcc.com.sa,2026-09-12,بريد عام منشور بتذييل الموقع الرسمي.
Najran Cement Company,شركة أسمنت نجران,production,نجران,info@najrancement.com,https://najrancement.com/career/,https://najrancement.com,2026-09-12,بريد عام منشور بالموقع الرسمي (صفحة التوظيف موجودة لكن بلا بريد منفصل).
JASCO Plastic Products,شركة جاسكو للمنتجات البلاستيكية,production,بريدة,info@jasco.sa,https://jasco.sa/en/,https://jasco.sa,2026-09-12,بريد عام منشور بالموقع الرسمي.
Riyadh Pharma,شركة الرياض للصناعات الدوائية,production,الرياض,Ask@riyadhpharma.com,https://www.riyadhpharma.com,https://www.riyadhpharma.com,2026-09-12,بريد عام منشور بتذييل الموقع الرسمي.
Al Jouf Cement Company,شركة أسمنت الجوف,production,الجوف,info@joufcem.com.sa,https://www.joufcem.com.sa,https://www.joufcem.com.sa,2026-09-12,بريد عام منشور بالموقع الرسمي.
AFICO (Arabian Fiberglass Insulation Company),الشركة العربية لعزل الألياف الزجاجية,production,الدمام,info@afico.com.sa,https://www.afico.com.sa,https://www.afico.com.sa,2026-09-12,بريد عام منشور بتذييل الموقع الرسمي.
Almutlaq Holding,مجموعة المطلق القابضة,construction_pm,الرياض,info@almutlaq.com,https://www.almutlaq.com,https://www.almutlaq.com,2026-09-12,بريد عام منشور بالموقع الرسمي (مقاولات/أثاث).
Aldella Food Production Company,شركة الدلة لإنتاج الأغذية,production,سدير,info@aldella.com.sa,https://www.aldella.com.sa,https://www.aldella.com.sa,2026-09-12,بريد عام منشور بالموقع الرسمي.
Riyadh Food Industries Company,شركة الرياض للصناعات الغذائية,production,الرياض,info@riyadhfoods.com,https://riyadhfoods.com,https://riyadhfoods.com,2026-09-12,بريد عام منشور بالموقع الرسمي.
Jazeera Paints,شركة دهانات الجزيرة,coatings,الرياض,help@jazeerapaints.com,https://jazeerapaints.com/sa_ar/contact,https://jazeerapaints.com,2026-09-12,بريد عام منشور بصفحة التواصل الرسمية؛ نموذج التواصل يتيح تصنيف الطلب كـ"التقديم على الوظائف".
777 Paints Factory,مصنع 777 للدهانات,coatings,المدينة المنورة,info@777paints.com,https://777paints.com/,https://777paints.com,2026-09-12,بريد عام منشور بالموقع الرسمي.
Lotus Paints Company,شركة ألوان اللوتس للدهانات,coatings,الدمام,sales@lotuspaints.sa,https://lotuspaints.sa/,https://lotuspaints.sa,2026-09-12,بريد مبيعات عام منشور بالموقع الرسمي (مصنعان: سدير بالرياض والدمام؛ استُخدمت الدمام).
