company,type,url,country,terms_note
Careem,greenhouse,https://boards-api.greenhouse.io/v1/boards/careem/jobs,AE,"واجهة Greenhouse JSON العامة الرسمية بدون مصادقة؛ Careem سوبر-آب خليجي (مملوك لـUber) لديه وظائف في الإمارات/السعودية"
HALA,greenhouse,https://boards-api.greenhouse.io/v1/boards/hala/jobs,SA,"واجهة Greenhouse JSON العامة؛ HALA شركة مدفوعات/نقاط بيع سعودية (فينتك)"
dmg events,greenhouse,https://boards-api.greenhouse.io/v1/boards/dmgevents/jobs,AE,"واجهة Greenhouse JSON العامة؛ dmg events شركة معارض صناعية مقرها دبي تنظم فعاليات بالسعودية أيضًا"
Sanabil Venture Studio,greenhouse,https://boards-api.greenhouse.io/v1/boards/sanabilventurestudio/jobs,SA,"واجهة Greenhouse JSON العامة؛ استوديو مشاريع تابع لصندوق الاستثمارات العامة السعودي"
Cobblestone Energy,greenhouse,https://boards-api.greenhouse.io/v1/boards/cobblestoneenergy4/jobs,AE,"واجهة Greenhouse JSON العامة؛ شركة تداول طاقة/غاز مقرها دبي"
Decima International,greenhouse,https://boards-api.greenhouse.io/v1/boards/decimainternational/jobs,SA,"واجهة Greenhouse JSON العامة؛ إنشاءات مراكز بيانات بالسعودية (MEP/QA-QC/HSE) — وظائف مطابقة مباشرة لمجال الهندسة الكيميائية/الصناعية"
Archer Aviation,greenhouse,https://boards-api.greenhouse.io/v1/boards/archer56/jobs,AE,"واجهة Greenhouse JSON العامة؛ برنامج توسّع Archer الجوي بالإمارات"
OKX,greenhouse,https://boards-api.greenhouse.io/v1/boards/okx/jobs,AE,"واجهة Greenhouse JSON العامة؛ منصة عملات رقمية مرخّصة ومقرّها التشغيلي جزئيًا بدبي"
Tamara,greenhouse,https://boards-api.eu.greenhouse.io/v1/boards/tamara/jobs,SA,"واجهة Greenhouse JSON العامة (لوحة أوروبية eu.greenhouse.io)؛ Tamara شركة تقسيط سعودية (BNPL) مقرها الرياض"
Zeeco,lever,https://api.lever.co/v0/postings/zeeco,SA,"تم التحقق فعليًا سابقًا (WebFetch): لوحة Lever حقيقية فيها عشرات وظائف Process/Quality/HSE Engineer بمواقع Dammam وYanbu"
Ajax Systems,lever,https://api.lever.co/v0/postings/ajax,SA,"واجهة Lever JSON العامة؛ شركة أنظمة أمن لديها وظائف مقرها جدة"
Strategic Gears,lever,https://api.lever.co/v0/postings/strategicgears,SA,"واجهة Lever JSON العامة؛ شركة استشارات إدارية مقرها الرياض"
Trendyol,lever,https://api.lever.co/v0/postings/trendyol,SA,"واجهة Lever JSON العامة؛ منصة تجارة إلكترونية تركية لديها أدوار خليجية (Gulf/Saudi Nationals)"
Lean Technologies,ashby,https://api.ashbyhq.com/posting-api/job-board/leantech,SA,"واجهة Ashby JSON العامة؛ فينتك خليجي متخصص بالـOpen Banking، عملاء ومقر رئيسي بالسعودية/الإمارات"
Bayut dubizzle,workable,https://apply.workable.com/api/v1/widget/accounts/bayutdubizzle,AE,"واجهة Workable widget JSON العامة؛ منصة عقارات/إعلانات مبوّبة إماراتية رائدة"
Al Jomaih Energy and Water,workable,https://apply.workable.com/api/v1/widget/accounts/al-jomaih-energy-and-water,SA,"واجهة Workable widget JSON العامة؛ شركة سعودية بقطاع الطاقة والمياه"
Tarabut Gateway,workable,https://apply.workable.com/api/v1/widget/accounts/tarabut-gateway,SA,"واجهة Workable widget JSON العامة؛ فينتك Open Banking خليجي، ترخيص وعمليات بالسعودية"
Vezeeta,workable,https://apply.workable.com/api/v1/widget/accounts/vezeeta,SA,"واجهة Workable widget JSON العامة؛ منصة صحية توسّعت لدول خليجية"
Whiteshield,workable,https://apply.workable.com/api/v1/widget/accounts/whiteshield,SA,"واجهة Workable widget JSON العامة؛ استشارات حكومية/اقتصادية عالمية بحضور فعلي بالرياض (مشاريع NEOM وغيرها)"
Eram Talent,workable,https://apply.workable.com/api/v1/widget/accounts/eramtalent-1,SA,"واجهة Workable widget JSON العامة؛ وكالة توظيف سعودية مذكورة صراحة بدليل التنفيذ (source_quality 0.3)"
Remote Recruitment,workable,https://apply.workable.com/api/v1/widget/accounts/remote-recruitment,SA,"واجهة Workable widget JSON العامة؛ وكالة توظيف تنشر وظائف تعليمية/إدارية بالرياض"
Intellect,workable,https://apply.workable.com/api/v1/widget/accounts/intellecthq,SA,"واجهة Workable widget JSON العامة؛ رعاية صحية نفسية بوظائف بالرياض"
SSC HR Solutions,workable,https://apply.workable.com/api/v1/widget/accounts/ssc-hr,SA,"واجهة Workable widget JSON العامة؛ شركة موارد بشرية/توظيف سعودية"
Saudi AZM,recruitee,https://azmtalent.recruitee.com/api/offers/,SA,"واجهة Recruitee JSON العامة؛ برامج تدريب تقني سعودية (AZEM) — التحقق: وظائف تدريب فعلية موجودة"
Hudson Manpower,recruitee,https://hudsonmanpower.recruitee.com/api/offers/,SA,"واجهة Recruitee JSON العامة؛ وكالة توظيف هندسي/نفط وغاز بحجم كبير من الوظائف الفعلية للسعودية (Process/HSE/Materials/Structure Engineer KSA)"
Italconsult,recruitee,https://italconsult.recruitee.com/api/offers/,SA,"واجهة Recruitee JSON العامة؛ استشارات هندسية إيطالية بحضور مشاريع خليجية"
Saudi Geophysical Consulting Office,recruitee,https://saudigeophysical.recruitee.com/api/offers/,SA,"واجهة Recruitee JSON العامة؛ شركة استشارات جيوفيزيائية سعودية"
Rider Levett Bucknall,recruitee,https://riderlevettbucknall.recruitee.com/api/offers/,SA,"واجهة Recruitee JSON العامة؛ استشارات كمية/إنشاءات عالمية بحضور خليجي (مساحو كميات ومهندسو تكاليف)"
Accor,smartrecruiters,https://api.smartrecruiters.com/v1/companies/AccorHotel/postings,SA,"واجهة SmartRecruiters JSON العامة (الـAPI نفسها متاحة للاستهلاك المباشر رغم حجب robots.txt عن صفحة التوثيق فقط)؛ مجموعة فنادق عالمية بوظائف سعودية عديدة فعليًا (Umluj وغيرها) — يطابق ذكر Accor صراحة بدليل التنفيذ"
Sutherland,smartrecruiters,https://api.smartrecruiters.com/v1/companies/Sutherland/postings,SA,"واجهة SmartRecruiters JSON العامة؛ شركة BPO عالمية بوظائف فعلية بالخبر (Al Khobar)"
Jobs for Humanity,smartrecruiters,https://api.smartrecruiters.com/v1/companies/JobsForHumanity/postings,SA,"واجهة SmartRecruiters JSON العامة؛ منصة توظيف شمولية تنشر أدوارًا خليجية/سعودية عديدة نيابة عن شركاء (وكالة توظيف)"
Ethos Interactive,smartrecruiters,https://api.smartrecruiters.com/v1/companies/EthosInteractive/postings,SA,"واجهة SmartRecruiters JSON العامة؛ وكالة تسويق رقمي مقرها الرياض (Olaya St)"
